code_modelo,name,code_marcas
219,740iLA Protection,7
220,745iA 4.4 V8 32V 333cv,7
9961,745Le M Sport Sedan 3.0 V6 Aut. (Híb.),7
221,750i,7
7147,750i M Sport Sedan 4.4 V8 450cv Aut.,7
222,750iA,7
223,750iL Highline 5.4 24V,7
7657,750iL M Sport Sedan 4.4 V8 450cv Aut.,7
8660,750iL Pure Excellence Sedan 4.4 V8 Aut.,7
9962,750iLA 4.4 Active 7 (Híbrido),7
224,760iL 6.0 V12 445cv/544cv,7
225,840Ci,7
226,840CiA,7
227,850Ci/CiA 5.0 24V,7
228,850Ci/CiA 5.4 24V,7
229,850CSi 5.6 24V,7
230,850i 5.0 24V,7
8817,i3 Bev 170cv Aut. (Elétrico),7
8818,i3 Bev Connected 170cv Aut. (Elétrico),7
8819,i3 Bev Full 170cv Aut. (Elétrico),7
9861,i3 Bev Un. Forever 170cv Aut. (Életrico),7
7023,i3 Rex E Drive 170cv Aut.(Elétrico),7
8734,i3 Rex E Drive Connected Aut. (Elétrico),7
7024,i3 Rex E Drive Full 170cv Aut.(Elétrico),7
10668,i4 e-Drive 35 M Sport (Elétrico),7
10669,i4 e-Drive 40 M Sport (Elétrico),7
10371,i4 M50 (Elétrico),7
10019,i8 e-Drive 1.5 TB 12V  Aut. (Híbrido),7
10020,i8 Road. e-Drive 1.5 TB 12V Aut. (Híb.),7
10755,iX 1 xDrive 30 M Sport (Elétrico),7
9910,iX 3 M Sport Aut.(Elétrico),7
9863,iX XDrive 40 Aut. (Elétrico),7
9864,iX XDrive 50 Sport Aut. (Elétrico),7
6416,M 135i 3.0 24V 320cv,7
9006,M 135i XDRIVE 2.0 306cv Aut.,7
6910,M 235i Coupe 3.0 24V 326cv,7
231,M Roadster,7
5719,M1 Coupe 3.0 24V 340cv,7
7823,M140i 3.0  24V 340cv 5p,7
8439,M2 Competition 3.0 Bi-Turbo 410cv Aut.,7
9103,M2 Competition Ed. Espe. 3.0 Bi-TB Mec.,7
